Category,Item,Portion,Calories
Nuts,Almonds,10 Nos.,85
Nuts,Cashewnuts,10 Nos.,95
Nuts,Coconut (fresh),100 g,444
Nuts,Coconut (dry),100 g,662
Nuts,Peanuts,50 Nos.,90
Fresh fruits,Apple,1 medium,65
Fresh fruits,Banana,1 medium,90
Fresh fruits,Grapes,30 Nos.,70
Fresh fruits,Guava,1 medium,50
Fresh fruits,Jackfruit,4 pieces,90
Fresh fruits,Mango,1 medium,180
Fresh fruits,Mosambi/orange,1 medium,40
Fresh fruits,Papaya,1 piece,80
Fresh fruits,Pineapple,1 piece,50
Fresh fruits,Sapota,1 medium,80
Fresh fruits,Custard apple,1 medium,130
Fresh fruits,Watermelon/muskmelon,1 slice,15
Salads,Beetroot,1 medium,30
Salads,Carrot,1 medium,70
Salads,Cucumber,1 medium,12
Salads,Onion,1 medium,25
Salads,Radish,1 medium,10
Salads,Tomato,1 medium,10
