Category,Name,Kcal/100gm
GLV,Amaranth (stem),19
GLV,Ambat chukka,15
GLV,Celery stalk,18
GLV,Spinach stalk,20
Roots and tubers,Radish table,16
Roots and tubers,Radish white,17
Other vegetables,Ash gourd,10
Other vegetables,Bottle gourd,12
Other vegetables,Cluster beans,16
Other vegetables,Colocasia stem,18
Other vegetables,Cucumber,13
Other vegetables,Ghosala,18
Other vegetables,Kovai,18
Other vegetables,Parwal,20
Other vegetables,Ridge guard,17
Other vegetables,Snake guard,18
Other vegetables,Vegetable marrow,17
Fruits,Bilimbi,19
Fruits,Jamb safed,19
Fruits,Musk melon,17
Fruits,Water melon,16
Fruits,Orange juice,9
Fruits,Tomato ripe,20
